Crop,Year,Yield,Temperature (Avg),Precipitation,Export Quantity,Fertilizer Usage
Avocados,1961,48990,8.45,738.74,,7466210.65
Avocados,1962,44532,8.74,677.47,,8274858.92
Avocados,1963,50850,8.9,630.36,,9169916.54
Avocados,1964,31137,8.3,705.13,,9793376.58
Avocados,1965,57109,8.46,715.33,,10803761.2
Avocados,1966,57605,8.27,646.42,,12166430.2
Avocados,1967,75282,8.69,704.24,,13301982.2
Avocados,1968,47811,8.33,701.98,,13911076.9
Avocados,1969,70788,8.57,706.76,,14408054.1
Avocados,1970,43462,8.53,693.77,,15218708.2
Avocados,1971,78900,8.29,710.77,,15592170
Avocados,1972,40829,8.19,731.56,,16076944.6
Avocados,1973,75050,8.75,801.3,,17123275.9
Avocados,1974,55498,8.67,714.46,,16540771.1
Avocados,1975,59916,8.25,764.98,,17835812.4
Avocados,1976,83134,8.4,627.3,,19615899.5
Avocados,1977,59287,9.08,709.96,,19179845.8
Avocados,1978,63967,8.56,707.88,6048,19797629.5
Avocados,1979,38602,8.39,772.08,7761,20796897.4
Avocados,1980,89816,8.92,675.76,10268,21297411.8
Avocados,1981,56137,9.51,714.44,18747,20196413.9
Avocados,1982,68039,8.32,796.71,7486,17507753.8
Avocados,1983,74001,8.71,800.98,8427,18551958.6
Avocados,1984,61253,8.6,728.02,12913,19745702.6
Avocados,1985,49594,8.38,718.2,5445,18506074.6
Avocados,1986,78723,9.37,742.34,5677,17490244.9
Avocados,1987,54420,9.44,694.83,13512,17609132.7
Avocados,1988,50086,9.06,628.8,13384,17762215.4
Avocados,1989,36277,8.65,708.78,7299,18349757.8
Avocados,1990,41876,9.36,769.34,6849,18649535.5
Avocados,1991,50315,9.34,758.04,6829,18715635.5
Avocados,1992,80186,8.89,746.13,8011,18923983.5
Avocados,1993,44161,8.71,772.81,16593,19898612.9
Avocados,1994,58364,9.23,728.78,14259,19659910.2
Avocados,1995,63461,9.24,747.15,28878,19779137.3
Avocados,1996,64964,8.58,771.15,21678,20204780
Avocados,1997,60333,8.74,739.33,12503,20221133.1
Avocados,1998,54405,9.8,782.11,12509,19859884.8
Avocados,1999,63088,9.22,680.84,12735,19616704.2
Avocados,2000,82247,9.2,682.51,10391,19071525.9
Avocados,2001,77450,9.42,693.25,9361,19316848.4
Avocados,2002,68087,9.44,688.43,10490,19352971.2
Avocados,2003,78207,9.42,718.7,6709,21203083.7
Avocados,2004,58564,9.38,769.28,7454,20092236
Avocados,2005,103595,9.65,715.75,5123,19273411.1
Avocados,2006,84967,9.81,704.67,6583,20773985.3
Avocados,2007,65052,9.62,682.08,9567,19475350.4
Avocados,2008,35704,8.78,727.86,18459,16038481.2
Avocados,2009,100978,8.92,745.58,11624,18918611.2
Avocados,2010,65208,9.34,725.79,28592,19667310.7
Avocados,2011,84676,9.36,726.78,17919,20362667.8
Avocados,2012,95398,10.06,677.78,29630,20910153.7
Avocados,2013,67067,9.07,765.43,43211,21086056.9
Avocados,2014,75023,9.42,738.72,37005,19976842.1
Avocados,2015,86599,10.21,826.69,37886,20211336
Avocados,2016,53635,10.62,746.82,53337,20091404.3
Avocados,2017,72359,10.21,777.23,50907,20145604.7
Avocados,2018,77628,9.87,822.17,68477,20018597.5
Avocados,2019,57280,9.72,834.45,59377,19950557.9
Avocados,2020,87852,10,737.57,67024,19899437.6
Bananas,1961,105447,8.45,738.74,42348,7466210.65
Bananas,1962,97139,8.74,677.47,40690,8274858.92
Bananas,1963,91981,8.9,630.36,49458,9169916.54
Bananas,1964,114667,8.3,705.13,62673,9793376.58
Bananas,1965,84583,8.46,715.33,57227,10803761.2
Bananas,1966,97531,8.27,646.42,64938,12166430.2
Bananas,1967,89780,8.69,704.24,61183,13301982.2
Bananas,1968,75825,8.33,701.98,78153,13911076.9
Bananas,1969,74441,8.57,706.76,86883,14408054.1
Bananas,1970,82338,8.53,693.77,191099,15218708.2
Bananas,1971,72765,8.29,710.77,180081,15592170
Bananas,1972,79485,8.19,731.56,187823,16076944.6
Bananas,1973,112097,8.75,801.3,188159,17123275.9
Bananas,1974,121215,8.67,714.46,194959,16540771.1
Bananas,1975,110275,8.25,764.98,187145,17835812.4
Bananas,1976,101480,8.4,627.3,200547,19615899.5
Bananas,1977,117982,9.08,709.96,199382,19179845.8
Bananas,1978,112609,8.56,707.88,200575,19797629.5
Bananas,1979,101600,8.39,772.08,197484,20796897.4
Bananas,1980,90870,8.92,675.76,205422,21297411.8
Bananas,1981,104615,9.51,714.44,216847,20196413.9
Bananas,1982,90690,8.32,796.71,209521,17507753.8
Bananas,1983,58286,8.71,800.98,187573,18551958.6
Bananas,1984,115429,8.6,728.02,202449,19745702.6
Bananas,1985,108824,8.38,718.2,197241,18506074.6
Bananas,1986,110831,9.37,742.34,162664,17490244.9
Bananas,1987,119400,9.44,694.83,187568,17609132.7
Bananas,1988,138568,9.06,628.8,180260,17762215.4
Bananas,1989,134321,8.65,708.78,154177,18349757.8
Bananas,1990,142389,9.36,769.34,337365,18649535.5
Bananas,1991,143639,9.34,758.04,356087,18715635.5
Bananas,1992,154545,8.89,746.13,378034,18923983.5
Bananas,1993,159226,8.71,772.81,380556,19898612.9
Bananas,1994,175843,9.23,728.78,383216,19659910.2
Bananas,1995,165730,9.24,747.15,397546,19779137.3
Bananas,1996,152062,8.58,771.15,408741,20204780
Bananas,1997,161719,8.74,739.33,418823,20221133.1
Bananas,1998,165652,9.8,782.11,416520,19859884.8
Bananas,1999,194052,9.22,680.84,418813,19616704.2
Bananas,2000,222572,9.2,682.51,400188,19071525.9
Bananas,2001,210630,9.42,693.25,406968,19316848.4
Bananas,2002,168587,9.44,688.43,416600,19352971.2
Bananas,2003,187747,9.42,718.7,427543,21203083.7
Bananas,2004,185926,9.38,769.28,445757,20092236
Bananas,2005,238791,9.65,715.75,449647,19273411.1
Bananas,2006,190370,9.81,704.67,,20773985.3
Bananas,2007,220760,9.62,682.08,459521,19475350.4
Bananas,2008,177303,8.78,727.86,524592,16038481.2
Bananas,2009,188539,8.92,745.58,538374,18918611.2
Bananas,2010,181438,9.34,725.79,503489,19667310.7
Bananas,2011,194889,9.36,726.78,516119,20362667.8
Bananas,2012,181869,10.06,677.78,515885,20910153.7
Bananas,2013,181923,9.07,765.43,547224,21086056.9
Bananas,2014,187701,9.42,738.72,561408,19976842.1
Bananas,2015,161994,10.21,826.69,567916,20211336
Bananas,2016,115204,10.62,746.82,573451,20091404.3
Bananas,2017,79474,10.21,777.23,594270,20145604.7
Bananas,2018,75072,9.87,822.17,583691,20018597.5
Bananas,2019,100958,9.72,834.45,593625,19950557.9
Bananas,2020,89755,10,737.57,592342,19899437.6
Rice,1961,38227,8.45,738.74,6950,7466210.65
Rice,1962,41785,8.74,677.47,3778,8274858.92
Rice,1963,44449,8.9,630.36,6169,9169916.54
Rice,1964,45906,8.3,705.13,5607,9793376.58
Rice,1965,47693,8.46,715.33,5675,10803761.2
Rice,1966,48442,8.27,646.42,8232,12166430.2
Rice,1967,50851,8.69,704.24,7890,13301982.2
Rice,1968,49600,8.33,701.98,8382,13911076.9
Rice,1969,48399,8.57,706.76,8994,14408054.1
Rice,1970,51763,8.53,693.77,7743,15218708.2
Rice,1971,52882,8.29,710.77,6266,15592170
Rice,1972,52679,8.19,731.56,2668,16076944.6
Rice,1973,47911,8.75,801.3,870,17123275.9
Rice,1974,49770,8.67,714.46,202,16540771.1
Rice,1975,51086,8.25,764.98,673,17835812.4
Rice,1976,52268,8.4,627.3,435,19615899.5
Rice,1977,49450,9.08,709.96,164559,19179845.8
Rice,1978,50257,8.56,707.88,179962,19797629.5
Rice,1979,51548,8.39,772.08,62652,20796897.4
Rice,1980,49461,8.92,675.76,30860,21297411.8
Rice,1981,54015,9.51,714.44,184188,20196413.9
Rice,1982,52791,8.32,796.71,97311,17507753.8
Rice,1983,51532,8.71,800.98,88548,18551958.6
Rice,1984,55523,8.6,728.02,151210,19745702.6
Rice,1985,60704,8.38,718.2,75867,18506074.6
Rice,1986,63340,9.37,742.34,409924,17490244.9
Rice,1987,62271,9.44,694.83,65142,17609132.7
Rice,1988,61801,9.06,628.8,125758,17762215.4
Rice,1989,64466,8.65,708.78,99197,18349757.8
Rice,1990,61975,9.36,769.34,194594,18649535.5
Rice,1991,64231,9.34,758.04,251440,18715635.5
Rice,1992,64294,8.89,746.13,151652,18923983.5
Rice,1993,61763,8.71,772.81,280712,19898612.9
Rice,1994,66851,9.23,728.78,497224,19659910.2
Rice,1995,63007,9.24,747.15,553520,19779137.3
Rice,1996,68593,8.58,771.15,576227,20204780
Rice,1997,66099,8.74,739.33,609014,20221133.1
Rice,1998,63473,9.8,782.11,1744630,19859884.8
Rice,1999,65753,9.22,680.84,779959,19616704.2
Rice,2000,70397,9.2,682.51,1181547,19071525.9
Rice,2001,72807,9.42,693.25,1066184,19316848.4
Rice,2002,73730,9.44,688.43,1585952,19352971.2
Rice,2003,74759,9.42,718.7,2008662,21203083.7
Rice,2004,78328,9.38,769.28,1327028,20092236
Rice,2005,74245,9.65,715.75,1746194,19273411.1
Rice,2006,77313,9.81,704.67,1548787,20773985.3
Rice,2007,80917,9.62,682.08,1451240,19475350.4
Rice,2008,76731,8.78,727.86,1801028,16038481.2
Rice,2009,79413,8.92,745.58,1467126,18918611.2
Rice,2010,75375,9.34,725.79,2052749,19667310.7
Rice,2011,79209,9.36,726.78,1385993,20362667.8
Rice,2012,83651,10.06,677.78,1529828,20910153.7
Rice,2013,86232,9.07,765.43,1518957,21086056.9
Rice,2014,84919,9.42,738.72,1381567,19976842.1
Rice,2015,83722,10.21,826.69,1622978,20211336
Rice,2016,81121,10.62,746.82,1858388,20091404.3
Rice,2017,84147,10.21,777.23,1568116,20145604.7
Rice,2018,86213,9.87,822.17,1353367,20018597.5
Rice,2019,83759,9.72,834.45,1580960,19950557.9
Rice,2020,85398,10,737.57,1373402,19899437.6
Wheat,1961,16070,8.45,738.74,17168496,7466210.65
Wheat,1962,16809,8.74,677.47,14136700,8274858.92
Wheat,1963,16949,8.9,630.36,17470096,9169916.54
Wheat,1964,17344,8.3,705.13,20574672,9793376.58
Wheat,1965,17853,8.46,715.33,17700576,10803761.2
Wheat,1966,17688,8.27,646.42,22483552,12166430.2
Wheat,1967,17375,8.69,704.24,17474592,13301982.2
Wheat,1968,19116,8.33,701.98,16118222,13911076.9
Wheat,1969,20580,8.57,706.76,12102230,14408054.1
Wheat,1970,20865,8.53,693.77,17444336,15218708.2
Wheat,1971,22829,8.29,710.77,16215069,15592170
Wheat,1972,21983,8.19,731.56,21308080,16076944.6
Wheat,1973,21248,8.75,801.3,37398000,17123275.9
Wheat,1974,18333,8.67,714.46,25132960,16540771.1
Wheat,1975,20582,8.25,764.98,30966720,17835812.4
Wheat,1976,20375,8.4,627.3,26536640,19615899.5
Wheat,1977,20629,9.08,709.96,23825952,19179845.8
Wheat,1978,21136,8.56,707.88,34096480,19797629.5
Wheat,1979,22980,8.39,772.08,33379040,20796897.4
Wheat,1980,22513,8.92,675.76,35756128,21297411.8
Wheat,1981,23229,9.51,714.44,43908640,20196413.9
Wheat,1982,23859,8.32,796.71,40521632,17507753.8
Wheat,1983,26509,8.71,800.98,38491184,18551958.6
Wheat,1984,26073,8.6,728.02,42242960,19745702.6
Wheat,1985,25197,8.38,718.2,24809616,18506074.6
Wheat,1986,23167,9.37,742.34,24555808,17490244.9
Wheat,1987,25330,9.44,694.83,30638016,17609132.7
Wheat,1988,22913,9.06,628.8,40499664,17762215.4
Wheat,1989,22024,8.65,708.78,36568800,18349757.8
Wheat,1990,26567,9.36,769.34,27557024,18649535.5
Wheat,1991,23038,9.34,758.04,31088576,18715635.5
Wheat,1992,26433,8.89,746.13,33876960,18923983.5
Wheat,1993,25699,8.71,772.81,35665888,19898612.9
Wheat,1994,25270,9.23,728.78,30570900,19659910.2
Wheat,1995,24065,9.24,747.15,32420000,19779137.3
Wheat,1996,24389,8.58,771.15,31150000,20204780
Wheat,1997,26574,8.74,739.33,25768091,20221133.1
Wheat,1998,29034,9.8,782.11,27003721,19859884.8
Wheat,1999,28726,9.22,680.84,28445452,19616704.2
Wheat,2000,28238,9.2,682.51,27830150,19071525.9
Wheat,2001,27018,9.42,693.25,25782618,19316848.4
Wheat,2002,23567,9.44,688.43,24245829,19352971.2
Wheat,2003,29712,9.42,718.7,25429428,21203083.7
Wheat,2004,29026,9.38,769.28,31581449,20092236
Wheat,2005,28231,9.65,715.75,27178553,19273411.1
Wheat,2006,25986,9.81,704.67,23377178,20773985.3
Wheat,2007,27046,9.62,682.08,32946902,19475350.4
Wheat,2008,30175,8.78,727.86,30093351,16038481.2
Wheat,2009,29897,8.92,745.58,21942248,18918611.2
Wheat,2010,31167,9.34,725.79,27629318,19667310.7
Wheat,2011,29422,9.36,726.78,32789893,20362667.8
Wheat,2012,31154,10.06,677.78,25769493,20910153.7
Wheat,2013,31673,9.07,765.43,33198288,21086056.9
Wheat,2014,29378,9.42,738.72,25645749,19976842.1
Wheat,2015,29299,10.21,826.69,21268696,20211336
Wheat,2016,35408,10.62,746.82,24041586,20091404.3
Wheat,2017,31175,10.21,777.23,27299214,20145604.7
Wheat,2018,32005,9.87,822.17,22499006,20018597.5
Wheat,2019,34746,9.72,834.45,27068607,19950557.9
Wheat,2020,33415,10,737.57,26131626,19899437.6