Crop,Year,Yield,Fertilizer,Pesticide,Precipitation,Temperature_avg,Temperature_max
Avocados,1990,88709,1798400,26624.98,821.09,20.96,28.43
Avocados,1991,94108,1619400,26624.98,754.55,20.9,28.45
Avocados,1992,82795,1616000,26624.98,779.3,20.68,28.04
Avocados,1993,85672,1591900,26624.98,773.06,20.96,28.55
Avocados,1994,89132,1647900,26624.98,657.44,21.38,29.02
Avocados,1995,88077,1286000,26624.98,758.11,21.31,29
Avocados,1996,93159,1636400,26624.98,721.17,21.17,29.12
Avocados,1997,93701,1644100,26624.98,736.22,20.91,28.59
Avocados,1998,95063,1804300,26624.98,783.58,21.44,29.3
Avocados,1999,94863,1776000,26624.98,789.05,21,28.68
Avocados,2000,96429,1832000,26624.98,725.73,21.17,28.74
Avocados,2001,99867,1865378,23371.7,691.58,21,28.48
Avocados,2002,96015,1591950.2,11535.83,732.77,21.19,28.72
Avocados,2003,94865,1588545.2,16285.16,777.19,21.26,28.73
Avocados,2004,98700,1558544,18507.68,844.65,20.98,28.42
Avocados,2005,99062,1787302,39171.9,727.52,21.28,28.85
Avocados,2006,107535,1612814,38402.66,816.78,21.45,29.12
Avocados,2007,103544,1671883,50894.34,782.84,21.09,28.62
Avocados,2008,103346,1318799,50154.53,797.86,21.06,28.71
Avocados,2009,101322,1585469,50327.9,686.9,21.55,29.25
Avocados,2010,89717,1658153,52305.13,827.37,20.78,28.48
Avocados,2011,99855,1917412.31,53219.63,696.18,21.59,29.57
Avocados,2012,100999,1912483.57,49213.67,710.26,21.66,29.38
Avocados,2013,101761,2072432.48,47551.15,931.07,21.16,28.73
Avocados,2014,98893,2004834.22,43028.74,866.07,21.39,29.05
Avocados,2015,98489,1793014.46,48292.99,765.58,21.54,29
Avocados,2016,104652,2186326.67,47421.33,801.73,21.75,29.36
Avocados,2017,107559,2139573.61,50801.94,795.08,22.03,29.75
Avocados,2018,105852,2140490.9,53144.44,783.02,21.66,29.18
Avocados,2019,106551,2086911.73,48989.2,721.02,21.88,29.46
Avocados,2020,106667,2139664.12,41681.11,691.92,22.08,29.92
Cauliflowers and broccoli,1990,117428,1798400,26624.98,821.09,20.96,28.43
Cauliflowers and broccoli,1991,109823,1619400,26624.98,754.55,20.9,28.45
Cauliflowers and broccoli,1992,113542,1616000,26624.98,779.3,20.68,28.04
Cauliflowers and broccoli,1993,116281,1591900,26624.98,773.06,20.96,28.55
Cauliflowers and broccoli,1994,112844,1647900,26624.98,657.44,21.38,29.02
Cauliflowers and broccoli,1995,116971,1286000,26624.98,758.11,21.31,29
Cauliflowers and broccoli,1996,115098,1636400,26624.98,721.17,21.17,29.12
Cauliflowers and broccoli,1997,123930,1644100,26624.98,736.22,20.91,28.59
Cauliflowers and broccoli,1998,130993,1804300,26624.98,783.58,21.44,29.3
Cauliflowers and broccoli,1999,135192,1776000,26624.98,789.05,21,28.68
Cauliflowers and broccoli,2000,125453,1832000,26624.98,725.73,21.17,28.74
Cauliflowers and broccoli,2001,135672,1865378,23371.7,691.58,21,28.48
Cauliflowers and broccoli,2002,141698,1591950.2,11535.83,732.77,21.19,28.72
Cauliflowers and broccoli,2003,133167,1588545.2,16285.16,777.19,21.26,28.73
Cauliflowers and broccoli,2004,136576,1558544,18507.68,844.65,20.98,28.42
Cauliflowers and broccoli,2005,142065,1787302,39171.9,727.52,21.28,28.85
Cauliflowers and broccoli,2006,138616,1612814,38402.66,816.78,21.45,29.12
Cauliflowers and broccoli,2007,142505,1671883,50894.34,782.84,21.09,28.62
Cauliflowers and broccoli,2008,145700,1318799,50154.53,797.86,21.06,28.71
Cauliflowers and broccoli,2009,145158,1585469,50327.9,686.9,21.55,29.25
Cauliflowers and broccoli,2010,146148,1658153,52305.13,827.37,20.78,28.48
Cauliflowers and broccoli,2011,147495,1917412.31,53219.63,696.18,21.59,29.57
Cauliflowers and broccoli,2012,148403,1912483.57,49213.67,710.26,21.66,29.38
Cauliflowers and broccoli,2013,150604,2072432.48,47551.15,931.07,21.16,28.73
Cauliflowers and broccoli,2014,154073,2004834.22,43028.74,866.07,21.39,29.05
Cauliflowers and broccoli,2015,156383,1793014.46,48292.99,765.58,21.54,29
Cauliflowers and broccoli,2016,163967,2186326.67,47421.33,801.73,21.75,29.36
Cauliflowers and broccoli,2017,176912,2139573.61,50801.94,795.08,22.03,29.75
Cauliflowers and broccoli,2018,182871,2140490.9,53144.44,783.02,21.66,29.18
Cauliflowers and broccoli,2019,184879,2086911.73,48989.2,721.02,21.88,29.46
Cauliflowers and broccoli,2020,179136,2139664.12,41681.11,691.92,22.08,29.92
Rice,1990,37418,1798400,26624.98,821.09,20.96,28.43
Rice,1991,40954,1619400,26624.98,754.55,20.9,28.45
Rice,1992,43577,1616000,26624.98,779.3,20.68,28.04
Rice,1993,48725,1591900,26624.98,773.06,20.96,28.55
Rice,1994,42555,1647900,26624.98,657.44,21.38,29.02
Rice,1995,46792,1286000,26624.98,758.11,21.31,29
Rice,1996,45412,1636400,26624.98,721.17,21.17,29.12
Rice,1997,41365,1644100,26624.98,736.22,20.91,28.59
Rice,1998,45108,1804300,26624.98,783.58,21.44,29.3
Rice,1999,47762,1776000,26624.98,789.05,21,28.68
Rice,2000,41805,1832000,26624.98,725.73,21.17,28.74
Rice,2001,42576,1865378,23371.7,691.58,21,28.48
Rice,2002,45027,1591950.2,11535.83,732.77,21.19,28.72
Rice,2003,45550,1588545.2,16285.16,777.19,21.26,28.73
Rice,2004,44631,1558544,18507.68,844.65,20.98,28.42
Rice,2005,50653,1787302,39171.9,727.52,21.28,28.85
Rice,2006,47857,1612814,38402.66,816.78,21.45,29.12
Rice,2007,41536,1671883,50894.34,782.84,21.09,28.62
Rice,2008,44619,1318799,50154.53,797.86,21.06,28.71
Rice,2009,48502,1585469,50327.9,686.9,21.55,29.25
Rice,2010,51901,1658153,52305.13,827.37,20.78,28.48
Rice,2011,50962,1917412.31,53219.63,696.18,21.59,29.57
Rice,2012,56231,1912483.57,49213.67,710.26,21.66,29.38
Rice,2013,54252,2072432.48,47551.15,931.07,21.16,28.73
Rice,2014,57123,2004834.22,43028.74,866.07,21.39,29.05
Rice,2015,58078,1793014.46,48292.99,765.58,21.54,29
Rice,2016,61345,2186326.67,47421.33,801.73,21.75,29.36
Rice,2017,63900,2139573.61,50801.94,795.08,22.03,29.75
Rice,2018,62849,2140490.9,53144.44,783.02,21.66,29.18
Rice,2019,63663,2086911.73,48989.2,721.02,21.88,29.46
Rice,2020,62107,2139664.12,41681.11,691.92,22.08,29.92
Wheat,1990,42143,1798400,26624.98,821.09,20.96,28.43
Wheat,1991,41272,1619400,26624.98,754.55,20.9,28.45
Wheat,1992,39530,1616000,26624.98,779.3,20.68,28.04
Wheat,1993,40821,1591900,26624.98,773.06,20.96,28.55
Wheat,1994,43034,1647900,26624.98,657.44,21.38,29.02
Wheat,1995,37320,1286000,26624.98,758.11,21.31,29
Wheat,1996,41706,1636400,26624.98,721.17,21.17,29.12
Wheat,1997,47347,1644100,26624.98,736.22,20.91,28.59
Wheat,1998,42077,1804300,26624.98,783.58,21.44,29.3
Wheat,1999,46310,1776000,26624.98,789.05,21,28.68
Wheat,2000,49355,1832000,26624.98,725.73,21.17,28.74
Wheat,2001,47661,1865378,23371.7,691.58,21,28.48
Wheat,2002,50999,1591950.2,11535.83,732.77,21.19,28.72
Wheat,2003,44912,1588545.2,16285.16,777.19,21.26,28.73
Wheat,2004,44871,1558544,18507.68,844.65,20.98,28.42
Wheat,2005,47517,1787302,39171.9,727.52,21.28,28.85
Wheat,2006,52274,1612814,38402.66,816.78,21.45,29.12
Wheat,2007,50824,1671883,50894.34,782.84,21.09,28.62
Wheat,2008,50134,1318799,50154.53,797.86,21.06,28.71
Wheat,2009,49688,1585469,50327.9,686.9,21.55,29.25
Wheat,2010,54185,1658153,52305.13,827.37,20.78,28.48
Wheat,2011,54778,1917412.31,53219.63,696.18,21.59,29.57
Wheat,2012,56568,1912483.57,49213.67,710.26,21.66,29.38
Wheat,2013,52934,2072432.48,47551.15,931.07,21.16,28.73
Wheat,2014,51935,2004834.22,43028.74,866.07,21.39,29.05
Wheat,2015,45256,1793014.46,48292.99,765.58,21.54,29
Wheat,2016,53388,2186326.67,47421.33,801.73,21.75,29.36
Wheat,2017,52967,2139573.61,50801.94,795.08,22.03,29.75
Wheat,2018,54373,2140490.9,53144.44,783.02,21.66,29.18
Wheat,2019,55308,2086911.73,48989.2,721.02,21.88,29.46
Wheat,2020,53212,2139664.12,41681.11,691.92,22.08,29.92